institution_type,level,program,state,minority,women,faculties,number_of_institutes,intake,enrollment,passed,placed
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,0,4476.0,12,5430,1979,827,303
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,1,362.0,2,840,342,153,65
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Assam,0,0,277.0,7,2700,1738,821,360
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,559.0,16,6000,3262,1509,511
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Bihar,1,0,283.0,5,1680,1134,748,77
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,3852.0,45,26130,11876,8878,3688
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,1,0,87.0,1,600,326,332,266
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,937.0,9,5460,4453,3471,2362
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Goa,0,0,84.0,4,840,833,678,345
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Goa,1,0,8.0,1,240,240,255,109
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,4332.0,101,56714,40431,22563,6856
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,1,94.0,2,900,534,623,136
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,9485.0,151,66370,27072,18815,9944
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,1,123.0,4,1230,118,75,6
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Haryana,1,0,368.0,7,2910,1299,1094,1232
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,991.0,21,9840,2896,2312,961
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,1,45.0,1,480,161,0,0
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,322.0,5,2220,1617,1139,418
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,1,0,61.0,1,360,360,341,88
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,480.0,11,4650,3160,1749,439
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,12875.0,169,90053,69427,46758,23070
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,1,200.0,4,1440,806,561,321
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Karnataka,1,0,1822.0,22,12210,9665,7072,3304
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,5143.0,120,48162,29898,12918,6623
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,1,387.0,9,2700,1126,529,162
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Kerala,1,0,1998.0,46,19860,12755,5866,3027
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Kerala,1,1,45.0,3,810,226,235,55
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,13739.0,210,100809,61471,38572,17298
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,1,0,275.0,5,2160,1103,692,271
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,19585.0,357,162230,105721,85590,30017
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,275.0,8,2880,1538,1681,548
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,0,3931.0,70,32760,23707,19851,8038
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,1,62.0,1,420,301,299,54
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Meghalaya,0,0,90.0,1,480,284,162,92
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Meghalaya,1,0,90.0,1,480,284,162,92
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,7083.0,90,41882,20590,21118,11238
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,1,153.0,3,1320,179,669,460
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,727.0,15,8070,4065,2672,2346
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Puducherry,1,0,485.0,6,3810,2182,1689,1384
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,6450.0,103,45100,19467,18528,8413
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,1,326.0,6,1890,490,748,293
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Punjab,1,0,165.0,1,930,738,749,155
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,7072.0,127,61920,30579,19091,9895
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,344.0,6,2370,1045,1037,570
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,1,784.0,21,7860,3747,3475,2264
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,0,7056.0,115,69640,44456,34530,21673
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,1,118.0,4,1350,606,603,589
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,1,473.0,9,3360,1043,897,536
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,1,0,619.0,10,4740,1585,1683,884
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,1532.0,30,13050,5144,4444,2266
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,1,36.0,2,780,175,182,41
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,1,0,65.0,3,1260,240,280,251
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,1,1,20.0,1,360,35,24,11
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,4431.0,71,33750,21570,19442,11118
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,1,81.0,1,360,234,258,104
Unaided - Private,UG,ENGINEERING AND TECHNOLOGY,West Bengal,1,0,202.0,5,3060,1965,1423,831
Government,UG,ENGINEERING AND TECHNOLOGY,Andaman and Nicobar Islands,0,0,12.0,1,90,98,80,94
Government,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,815.0,10,3500,2568,1276,1325
Government,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,1,56.0,1,480,325,92,32
Government,UG,ENGINEERING AND TECHNOLOGY,Arunachal Pradesh ,0,0,39.0,1,150,0,0,0
Government,UG,ENGINEERING AND TECHNOLOGY,Assam,0,0,473.0,7,1695,887,641,160
Government,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,154.0,13,3890,1598,475,71
Government,UG,ENGINEERING AND TECHNOLOGY,Chandigarh,0,0,36.0,1,240,268,232,121
Government,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,83.0,4,1210,1081,530,24
Government,UG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,482.0,8,4227,3329,1095,1344
Government,UG,ENGINEERING AND TECHNOLOGY,Goa,0,0,62.0,1,420,404,457,212
Government,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,926.0,17,9870,9433,8704,1235
Government,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,291.0,7,2190,1725,40,753
Government,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,1,39.0,1,240,187,0,38
Government,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,23.0,3,780,352,247,77
Government,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,44.0,1,300,282,116,83
Government,UG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,125.0,1,680,668,691,361
Government,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,550.0,12,3280,2640,860,526
Government,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,1119.0,35,11265,9044,5217,3237
Government,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,1,50.0,1,360,371,331,193
Government,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,188.0,6,2011,1955,1023,771
Government,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,542.0,14,4550,3675,3044,1769
Government,UG,ENGINEERING AND TECHNOLOGY,Manipur,0,0,29.0,1,115,115,0,0
Government,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,232.0,6,1506,1369,618,541
Government,UG,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,146.0,2,720,623,570,390
Government,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,317.0,6,3402,2169,1466,417
Government,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,505.0,11,4715,3952,2273,1136
Government,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,86.0,1,600,517,394,194
Government,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,462.0,17,4200,3545,2565,1205
Government,UG,ENGINEERING AND TECHNOLOGY,Tripura,0,0,121.0,1,300,222,223,11
Government,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,240.0,7,2080,1724,1267,495
Government,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,92.0,3,1140,817,512,205
Government,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,292.0,15,4243,1950,1620,745
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,28.0,1,360,155,130,0
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,19.0,3,280,169,140,81
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Delhi,1,0,8.0,1,120,0,0,0
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,223.0,3,1395,1351,1309,639
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,42.0,2,585,464,300,123
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,94.0,5,1800,1409,492,469
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,1766.0,9,7700,7275,6770,4024
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,607.0,10,3971,3613,2031,734
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Kerala,1,0,249.0,2,1200,1247,952,458
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,247.0,3,2490,2099,1533,1328
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,468.0,6,2449,2479,1684,1355
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,107.0,2,700,647,424,308
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,126.0,1,825,831,846,376
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Punjab,1,0,126.0,1,825,831,846,376
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,650.0,3,2860,2781,2901,1970
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,524.0,11,3248,2304,1529,712
Govt aided,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,114.0,3,1095,1004,736,189
Govt aided,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,79.0,5,2417,840,1029,507
University Managed,UG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,139.0,3,1080,1054,0,0
University Managed,UG,ENGINEERING AND TECHNOLOGY,Assam,0,0,75.0,5,1380,792,527,370
University Managed,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,12.0,1,120,120,120,0
University Managed,UG,ENGINEERING AND TECHNOLOGY,Bihar,0,1,12.0,1,120,120,120,0
University Managed,UG,ENGINEERING AND TECHNOLOGY,Chandigarh,0,0,59.0,2,675,664,522,296
University Managed,UG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,107.0,2,940,519,361,67
University Managed,UG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,149.0,2,960,878,684,95
University Managed,UG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,88.0,3,780,822,409,134
University Managed,UG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,43.0,1,60,68,0,51
University Managed,UG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,69.0,1,300,284,0,98
University Managed,UG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,503.0,3,2460,2541,1656,1080
University Managed,UG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,409.0,9,2458,2025,1264,555
University Managed,UG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,316.0,9,3550,2264,1260,579
University Managed,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,249.0,8,1746,1402,1125,549
University Managed,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,22.0,1,240,253,221,100
University Managed,UG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,0,29.0,1,420,259,184,109
University Managed,UG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,205.0,2,1200,729,521,126
University Managed,UG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,89.0,1,420,0,0,0
University Managed,UG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,257.0,4,1465,635,1002,453
University Managed,UG,ENGINEERING AND TECHNOLOGY,Sikkim,0,0,157.0,1,840,595,547,345
University Managed,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,524.0,4,3035,2145,1207,823
University Managed,UG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,1,66.0,1,485,358,0,204
University Managed,UG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,256.0,4,1380,1272,1174,401
University Managed,UG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,14.0,1,300,262,22,22
University Managed,UG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,104.0,2,440,383,43,23
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,6881.0,280,26758,17173,8547,1916
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,1,575.0,23,1290,658,299,57
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,0,777.0,11,861,692,137,172
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,1,1,87.0,2,54,33,0,9
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Assam,0,0,4.0,3,150,33,14,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,572.0,27,2013,720,416,104
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,1,0,13.0,1,36,18,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,29.0,1,72,0,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Goa,0,0,11.0,1,18,18,17,1
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,437.0,56,5352,3052,1680,312
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,1370.0,114,8982,3796,2782,1341
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,1,19.0,1,42,0,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Haryana,1,0,39.0,5,720,260,278,222
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Himachal Pradesh,0,0,170.0,13,876,148,24,18
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,27.0,2,54,0,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,87.0,2,54,35,10,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,1549.0,117,10815,7093,4844,1126
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Karnataka,1,0,293.0,16,1518,1003,872,102
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,827.0,75,6368,3066,2061,503
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,1,36.0,4,282,153,107,37
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Kerala,1,0,344.0,36,2934,1660,901,231
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,1279.0,139,10030,6683,2174,909
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,1,0,16.0,3,150,126,21,15
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,2202.0,227,18085,13375,6369,1605
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,102.0,5,378,299,213,54
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,0,423.0,47,3880,2746,1502,287
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,1,1,11.0,1,210,138,124,35
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,881.0,38,2548,829,600,287
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Orissa,0,1,56.0,1,90,11,0,0
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,122.0,10,600,287,181,28
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Puducherry,1,0,113.0,5,330,179,147,28
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,1470.0,57,3600,2013,1337,446
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Punjab,0,1,33.0,2,36,30,18,4
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Punjab,1,0,21.0,1,126,89,24,8
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,839.0,53,3168,1309,373,216
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,100.0,3,234,118,68,9
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,6099.0,389,33552,20420,13678,4405
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,1,172.0,17,897,401,399,163
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,0,1302.0,91,8176,5284,3806,1027
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,1,1,35.0,4,198,89,99,58
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,1746.0,109,5944,1783,787,478
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,1,35.0,1,60,18,8,5
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,1,0,28.0,5,310,85,0,5
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,250.0,13,660,214,58,24
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,704.0,36,2118,706,563,170
Unaided - Private,PG,ENGINEERING AND TECHNOLOGY,West Bengal,1,0,194.0,4,414,141,108,9
Government,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,543.0,11,2065,1725,435,275
Government,PG,ENGINEERING AND TECHNOLOGY,Arunachal Pradesh ,0,0,33.0,1,36,0,0,0
Government,PG,ENGINEERING AND TECHNOLOGY,Assam,0,0,81.0,3,282,156,135,38
Government,PG,ENGINEERING AND TECHNOLOGY,Bihar,0,0,21.0,2,150,63,0,0
Government,PG,ENGINEERING AND TECHNOLOGY,Chandigarh,0,0,57.0,3,468,292,224,224
Government,PG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,28.0,4,120,55,17,0
Government,PG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,181.0,6,1548,684,132,87
Government,PG,ENGINEERING AND TECHNOLOGY,Goa,0,0,23.0,1,156,105,77,23
Government,PG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,236.0,12,803,742,559,75
Government,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,361.0,8,912,697,104,158
Government,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,1,1.0,1,40,20,0,6
Government,PG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,3.0,1,220,112,0,0
Government,PG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,140.0,7,564,472,113,106
Government,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,358.0,30,2364,1904,1086,1891
Government,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,1,21.0,1,48,48,48,19
Government,PG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,158.0,8,622,623,290,252
Government,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,130.0,11,1955,1214,405,322
Government,PG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,66.0,4,229,162,65,20
Government,PG,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,37.0,1,241,199,181,110
Government,PG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,187.0,7,593,417,213,221
Government,PG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,161.0,6,592,360,331,33
Government,PG,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,2.0,1,72,47,41,18
Government,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,162.0,12,720,584,536,178
Government,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,50.0,18,1932,921,594,215
Government,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,1,6.0,6,540,103,85,22
Government,PG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,47.0,5,492,249,266,51
Government,PG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,406.0,13,2284,794,328,166
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,26.0,2,98,98,50,50
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,182.0,3,734,377,338,25
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,3.0,1,18,13,13,13
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Jammu and Kashmir,0,0,57.0,1,54,47,0,3
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,152.0,1,465,281,269,56
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,211.0,9,1588,1362,880,198
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Kerala,0,0,47.0,4,474,336,238,64
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Kerala,1,0,39.0,2,366,249,184,23
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,242.0,3,908,799,555,103
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,169.0,7,1438,977,672,305
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Orissa,0,0,83.0,2,241,153,104,15
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Punjab,0,0,15.0,1,273,220,134,5
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Punjab,1,0,15.0,1,273,220,134,5
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,165.0,3,1065,889,794,316
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,135.0,9,992,587,405,52
Govt aided,PG,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,80.0,3,185,109,31,6
Govt aided,PG,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,338.0,3,1201,602,51,5
University Managed,PG,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,171.0,4,283,275,53,32
University Managed,PG,ENGINEERING AND TECHNOLOGY,Assam,0,0,24.0,4,210,114,68,21
University Managed,PG,ENGINEERING AND TECHNOLOGY,Chandigarh,0,0,141.0,2,186,154,131,58
University Managed,PG,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,43.0,3,90,70,22,5
University Managed,PG,ENGINEERING AND TECHNOLOGY,Delhi,0,0,15.0,1,60,42,31,27
University Managed,PG,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,19.0,1,108,92,112,4
University Managed,PG,ENGINEERING AND TECHNOLOGY,Haryana,0,0,65.0,5,380,324,162,13
